iter	RMSE
0	1666.225807
1	1637.140488
2	1610.492146
3	1586.926729
4	1565.957929
5	1539.951538
6	1519.246502
7	1501.42639
8	1475.152839
9	1457.413974
10	1431.545201
11	1417.466481
12	1400.070858
13	1383.039197
14	1366.508379
15	1353.288687
16	1331.59428
17	1310.421424
18	1292.840769
19	1281.26985
20	1261.771026
21	1245.092864
22	1227.841389
23	1218.181623
24	1208.292623
25	1193.126054
26	1174.244501
27	1161.754426
28	1146.834561
29	1135.560094
30	1123.996824
31	1112.997826
32	1097.587934
33	1082.769329
34	1067.129023
35	1055.711877
36	1041.801006
37	1028.751642
38	1020.477669
39	1011.42313
40	1000.827919
41	989.6834258
42	978.8490065
43	965.3975039
44	958.1389048
45	948.6546524
46	936.4795015
47	927.6308474
48	918.6861658
49	907.5720469
50	895.6689853
51	889.9901606
52	881.3689928
53	874.9096418
54	865.1046792
55	859.3826232
56	845.9207486
57	838.2159541
58	830.9266493
59	820.6385011
60	815.1045667
61	809.0588921
62	800.3713997
63	796.1286346
64	791.120617
65	785.3409698
66	779.7725957
67	771.3078802
68	765.3289752
69	761.109655
70	753.7035852
71	748.3134599
72	744.8698695
73	738.925005
74	732.1022899
75	724.8588491
76	718.4349753
77	710.3584328
78	706.4985123
79	703.9495614
80	694.4169548
81	684.8911549
82	678.2136663
83	672.2742006
84	663.3333275
85	656.7547904
86	652.1217333
87	645.8353243
88	640.3878775
89	637.4685231
90	633.7290879
91	629.7981516
92	622.6566429
93	618.3411706
94	611.7934559
95	604.8748069
96	601.1077345
97	594.1462676
98	587.9504396
99	582.7578431
100	578.7301944
101	572.5373228
102	569.3448637
103	565.7043652
104	562.0736505
105	558.8699782
106	555.0443979
107	552.5087202
108	546.7369229
109	542.0861677
110	536.6810202
111	534.0568901
112	530.5952382
113	527.7707958
114	522.1230703
115	516.0049529
116	511.6123322
117	506.6879854
118	503.4042106
119	498.9132561
120	495.9905626
121	491.4025734
122	487.2471129
123	484.7724304
124	480.4842873
125	477.5806898
126	473.5213492
127	471.3643258
128	468.1008264
129	464.3086828
130	461.5616321
131	456.6240685
132	452.8862544
