iter	Passed	Remaining
0	3	3013
1	5	2680
2	8	2799
3	10	2731
4	13	2726
5	15	2620
6	17	2533
7	19	2461
8	22	2422
9	25	2563
10	28	2536
11	30	2517
12	32	2474
13	34	2434
14	36	2402
15	40	2485
16	42	2464
17	44	2438
18	46	2414
19	48	2387
20	50	2364
21	52	2345
22	55	2357
23	57	2342
24	59	2326
25	61	2311
26	63	2300
27	65	2289
28	67	2274
29	72	2330
30	74	2338
31	77	2330
32	79	2325
33	81	2320
34	83	2313
35	87	2355
36	90	2352
37	92	2341
38	94	2335
39	96	2324
40	98	2313
41	101	2310
42	104	2322
43	107	2325
44	109	2321
45	111	2320
46	114	2314
47	116	2309
48	119	2310
49	121	2312
50	124	2308
51	126	2305
52	128	2304
53	130	2294
54	133	2285
55	136	2306
56	139	2306
57	142	2307
58	144	2299
59	146	2289
60	148	2283
61	151	2291
62	154	2291
63	156	2292
64	158	2285
65	160	2277
66	163	2273
67	165	2266
68	169	2290
69	172	2288
70	174	2282
71	176	2278
72	178	2270
73	180	2263
74	185	2286
75	188	2287
76	191	2297
77	194	2299
78	197	2306
79	201	2318
80	204	2319
81	207	2319
82	209	2313
83	211	2308
84	215	2316
85	218	2317
86	220	2316
87	222	2310
88	225	2304
89	227	2296
90	229	2295
91	233	2303
92	235	2299
93	238	2295
94	240	2289
95	242	2282
96	244	2278
97	247	2282
98	250	2280
99	253	2277
100	255	2271
101	257	2268
102	259	2261
103	263	2272
104	266	2270
105	268	2265
106	270	2260
107	272	2253
108	274	2247
109	277	2242
110	280	2246
111	282	2237
112	284	2231
113	286	2225
114	288	2219
115	290	2213
116	292	2207
117	295	2209
118	297	2206
119	300	2200
120	302	2194
121	304	2188
122	306	2183
123	308	2177
124	311	2182
125	313	2177
126	315	2171
127	317	2166
128	320	2160
129	322	2155
130	324	2150
131	327	2155
132	330	2151
133	332	2146
134	334	2140
135	336	2135
136	338	2130
137	340	2125
138	343	2125
139	345	2121
140	347	2117
141	349	2112
142	351	2107
143	353	2102
144	355	2097
145	357	2093
146	360	2090
147	362	2086
148	364	2081
149	366	2076
150	368	2071
151	370	2066
152	372	2062
153	376	2066
154	378	2063
155	380	2058
156	382	2053
157	384	2049
158	386	2044
159	388	2040
160	391	2042
161	394	2039
162	396	2036
163	398	2031
164	400	2027
165	402	2022
166	404	2018
167	407	2016
168	409	2012
169	411	2008
170	413	2003
171	415	1999
172	417	1995
173	419	1991
174	421	1987
175	425	1990
176	427	1986
177	429	1983
178	431	1979
179	433	1975
180	435	1971
181	437	1967
182	441	1970
183	443	1968
184	446	1966
185	448	1963
186	450	1959
187	452	1955
188	455	1953
189	457	1949
190	459	1946
191	461	1942
192	463	1938
193	465	1934
194	467	1931
195	469	1927
196	473	1929
197	475	1926
198	477	1923
199	479	1919
200	482	1916
201	484	1912
202	486	1909
203	489	1909
204	491	1907
205	494	1905
206	496	1902
207	498	1899
208	500	1896
209	503	1894
210	505	1891
211	508	1889
212	510	1886
213	512	1883
214	514	1880
215	517	1876
216	520	1879
217	523	1877
218	525	1875
219	528	1872
220	530	1868
221	532	1866
222	535	1865
223	537	1863
224	540	1861
225	542	1857
226	544	1854
227	546	1852
228	548	1848
229	552	1850
230	554	1846
231	557	1844
232	559	1842
233	561	1839
234	563	1835
235	566	1832
236	569	1833
237	571	1831
238	574	1828
239	575	1823
240	578	1820
241	580	1817
242	583	1816
243	585	1814
244	588	1812
245	590	1808
246	592	1805
247	594	1803
248	596	1799
249	599	1798
250	601	1794
251	603	1791
252	606	1789
253	608	1787
254	610	1784
255	612	1781
256	616	1783
257	619	1781
258	622	1779
259	624	1776
260	626	1773
261	628	1770
262	631	1769
263	634	1768
264	636	1765
265	638	1762
266	640	1759
267	642	1756
268	645	1752
269	647	1751
270	649	1747
271	652	1745
272	654	1742
273	656	1739
274	658	1736
275	660	1733
276	664	1735
277	667	1732
278	669	1730
279	671	1727
280	673	1723
281	675	1720
282	677	1716
283	680	1716
284	683	1714
285	685	1712
286	687	1709
287	690	1706
288	692	1703
289	694	1700
290	697	1699
291	700	1697
292	702	1695
293	704	1692
294	706	1689
295	709	1686
296	712	1687
297	715	1685
298	718	1683
299	720	1680
300	722	1677
301	724	1674
302	727	1673
303	731	1673
304	733	1671
305	735	1667
306	737	1665
307	739	1662
308	742	1660
309	747	1664
310	750	1663
311	754	1662
312	756	1660
313	761	1663
314	764	1662
315	767	1660
316	769	1658
317	772	1656
318	774	1653
319	778	1654
320	780	1651
321	783	1648
322	785	1646
323	787	1643
324	789	1640
325	793	1640
326	795	1637
327	798	1635
328	800	1632
329	802	1629
330	804	1626
331	808	1626
332	811	1624
333	813	1622
334	815	1618
335	817	1615
336	820	1613
337	822	1610
338	826	1610
339	828	1608
340	830	1605
341	832	1602
342	835	1599
343	837	1596
344	841	1597
345	843	1595
346	846	1593
347	848	1589
348	850	1586
349	852	1583
350	856	1583
351	858	1581
352	861	1578
353	863	1574
354	865	1571
355	867	1569
356	869	1565
357	873	1566
358	876	1564
359	878	1561
360	881	1559
361	883	1556
362	885	1553
363	888	1553
364	891	1550
365	893	1547
366	895	1544
367	897	1541
368	899	1538
369	901	1535
370	905	1535
371	907	1532
372	909	1529
373	911	1526
374	914	1523
375	916	1520
376	919	1519
377	922	1518
378	925	1515
379	927	1512
380	929	1509
381	931	1506
382	933	1503
383	937	1503
384	939	1500
385	941	1497
386	943	1494
387	945	1491
388	947	1488
389	949	1485
390	953	1485
391	956	1483
392	958	1480
393	960	1477
394	962	1474
395	964	1471
396	967	1470
397	970	1467
398	972	1464
399	974	1461
400	976	1458
401	978	1455
402	980	1452
403	984	1452
404	986	1449
405	989	1447
406	991	1443
407	993	1440
408	995	1438
409	997	1435
410	1000	1434
411	1003	1431
412	1005	1428
413	1007	1425
414	1009	1422
415	1011	1419
416	1013	1416
417	1033	1438
418	1035	1435
419	1037	1432
420	1039	1429
421	1041	1426
422	1043	1423
423	1045	1420
424	1049	1419
425	1050	1416
426	1053	1413
427	1055	1410
428	1057	1407
429	1059	1403
430	1061	1400
431	1063	1398
432	1066	1397
433	1068	1394
434	1071	1391
435	1073	1388
436	1075	1385
437	1077	1382
438	1080	1380
439	1081	1376
440	1083	1373
441	1085	1371
442	1087	1367
443	1089	1364
444	1091	1361
445	1093	1358
446	1097	1357
447	1098	1353
448	1100	1350
449	1102	1347
450	1104	1344
451	1106	1341
452	1108	1338
453	1111	1336
454	1114	1335
455	1117	1332
456	1119	1330
457	1121	1327
458	1123	1323
459	1125	1321
460	1129	1320
461	1131	1317
462	1133	1315
463	1135	1312
464	1137	1309
465	1139	1306
466	1141	1303
467	1146	1302
468	1148	1300
469	1150	1297
470	1152	1294
471	1154	1291
472	1156	1288
473	1158	1285
474	1162	1285
475	1165	1282
476	1167	1280
477	1170	1277
478	1172	1275
479	1174	1272
480	1178	1271
481	1180	1269
482	1183	1266
483	1185	1263
484	1187	1260
485	1189	1257
486	1193	1256
487	1195	1254
488	1197	1251
489	1199	1248
490	1201	1245
491	1203	1243
492	1205	1240
493	1209	1238
494	1212	1236
495	1214	1234
496	1216	1231
497	1218	1228
498	1220	1225
499	1222	1222
500	1225	1220
501	1227	1217
502	1230	1215
503	1232	1212
504	1234	1209
505	1236	1207
506	1238	1204
507	1242	1203
508	1244	1200
509	1246	1197
510	1248	1194
511	1250	1192
512	1252	1188
513	1254	1186
514	1257	1184
515	1260	1181
516	1262	1179
517	1264	1176
518	1266	1173
519	1267	1170
520	1269	1167
521	1273	1166
522	1276	1164
523	1278	1161
524	1280	1158
525	1283	1156
526	1285	1153
527	1287	1151
528	1291	1149
529	1293	1147
530	1295	1144
531	1297	1141
532	1299	1138
533	1301	1135
534	1305	1134
535	1307	1131
536	1309	1129
537	1311	1126
538	1313	1123
539	1315	1120
540	1317	1118
541	1321	1116
542	1324	1114
543	1326	1111
544	1328	1109
545	1330	1106
546	1332	1103
547	1334	1100
548	1338	1099
549	1340	1096
550	1342	1093
551	1344	1091
552	1346	1088
553	1348	1085
554	1350	1083
555	1354	1081
556	1356	1078
557	1357	1075
558	1359	1072
559	1361	1069
560	1363	1067
561	1365	1064
562	1369	1062
563	1371	1060
564	1373	1057
565	1375	1054
566	1377	1052
567	1379	1049
568	1381	1046
569	1383	1044
570	1387	1042
571	1388	1039
572	1390	1036
573	1392	1033
574	1394	1031
575	1397	1028
576	1399	1025
577	1402	1023
578	1404	1021
579	1406	1018
580	1408	1015
581	1410	1013
582	1412	1010
583	1414	1007
584	1418	1006
585	1420	1003
586	1422	1000
587	1424	998
588	1426	995
589	1428	992
590	1430	990
591	1434	988
592	1436	986
593	1439	983
594	1441	980
595	1443	978
596	1445	975
597	1447	972
598	1449	970
